"ORDER_ID";"ORDER_DATE";"ORDER_CHANNEL";"CUSTOMER_NAME";"CUSTOMER_TYPE";"WAREHOUSE_CODE";"SHIP_TO_PROVINCE";"ITEM_ID";"ORDER_QTY_UOM";"ORDER_QTY_PCS";"UNIT_SELLING_PRICE_CAD";"UNIT_SELLING_PRICE_USD";"ORDER_STATUS";"SHIPMENT_ID";"OUTBOUND_CARRIER";"OUTBOUND_SERVICE_LEVEL";"ORDER_SHIP_DATE";"ORDER_DELIVERY_DATE";"SHIPPED_QTY_PCS";"OUTBOUND_TRACKING_NUMBER";"FREIGHT_COST_CAD";"FREIGHT_COST_USD";"ITEM_DESCRIPTION";"ITEM_CATEGORY";"ITEM_BRAND";"UNITS_PER_CARTON";"UNIT_NET_WEIGHT";"UNIT_CBM";"AVERAGE_ITEM_COST_CAD";"AVERAGE_ITEM_COST_USD";"COUNTRY_OF_ORIGIN"
"SO-2025-000011";"2025-07-22";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0005";"Each";3;9.39;6.85;"Shipped";"OUT-000011";"FedEx";"Ground";"2025-07-22";"2025-07-24";3;"FED7929574715";13.57;9.91;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";6;0.241;0.000505;4.52;3.3;"Poland"
"SO-2025-000012";"2025-06-30";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0015";"Each";1;7.87;5.75;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura SPF 15 Face Wash";"Face Wash";"ArcticAura";12;0.161;0.000618;3.21;2.34;"Poland"
"SO-2025-000013";"2025-08-02";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0013";"Each";5;3.82;2.79;"Shipped";"OUT-000013";"Canada Post";"Priority";"2025-08-04";"2025-08-05";5;"CAN4325341842";14.11;10.3;"ArcticAura Hydrating Face Wash";"Face Wash";"ArcticAura";12;0.328;0.001045;1.32;0.96;"Poland"
"SO-2025-000014";"2025-06-25";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0002";"Each";4;12.23;8.93;"Shipped";"OUT-000014";"FedEx";"Priority";"2025-06-27";"2025-06-30";4;"FED7558131185";16.92;12.35;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000015";"2025-07-24";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0011";"Each";5;5.17;3.77;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 30 Face Wash";"Face Wash";"PureBaltic";12;0.321;0.00046;2.25;1.64;"Poland"
"SO-2025-000016";"2025-06-19";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0019";"Each";5;2.42;1.77;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hydrating Face Cream";"Face Cream";"LumiCare";36;0.097;0.001069;1.36;0.99;"Poland"
"SO-2025-000017";"2025-08-22";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0023";"Each";3;3.01;2.2;"Shipped";"OUT-000017";"FedEx";"Ground";"2025-08-22";"2025-08-26";3;"FED6000928720";10.3;7.52;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";24;0.176;0.000203;1.43;1.04;"Poland"
"SO-2025-000018";"2025-07-26";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0020";"Each";1;3.78;2.76;"Shipped";"OUT-000018";"FedEx";"Express";"2025-07-28";"2025-07-31";1;"FED7497557475";9.46;6.91;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";24;0.34;0.000614;1.6;1.17;"Poland"
"SO-2025-000019";"2025-07-30";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0014";"Each";3;11.78;8.6;"Shipped";"OUT-000019";"FedEx";"Ground";"2025-07-30";"2025-07-31";3;"FED4818964300";10.82;7.9;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000020";"2025-07-23";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0010";"Each";3;16.34;11.93;"Shipped";"OUT-000020";"Purolator";"Express";"2025-07-24";"2025-07-25";3;"PUR4492567875";9.07;6.62;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000021";"2025-08-09";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0002";"Each";4;12.67;9.25;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000022";"2025-07-01";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0004";"Each";1;14.1;10.29;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000023";"2025-07-03";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0002";"Each";4;12.04;8.79;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000024";"2025-07-29";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0003";"Each";1;9.01;6.58;"Shipped";"OUT-000024";"Canada Post";"Express";"2025-07-31";"2025-08-01";1;"CAN8575377698";8.45;6.17;"ArcticAura Mint Lip Balm";"Lip Balm";"ArcticAura";36;0.105;0.000171;2.48;1.81;"Poland"
"SO-2025-000025";"2025-05-29";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0017";"Each";4;3.07;2.24;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
"SO-2025-000026";"2025-08-18";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0010";"Each";1;14.59;10.65;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000027";"2025-06-17";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0010";"Each";5;14.41;10.52;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000028";"2025-07-03";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0030";"Each";2;14.59;10.65;"Shipped";"OUT-000028";"FedEx";"Express";"2025-07-05";"2025-07-06";2;"FED5135696208";15.38;11.23;"NordGlow SPF 15 Face Cream";"Face Cream";"NordGlow";36;0.148;0.001157;5.27;3.85;"Poland"
"SO-2025-000029";"2025-07-13";"B2C";"Ecommerce-CA";"Consumer";"VAN";"SK";"COS-0021";"Each";5;3.49;2.55;"Shipped";"OUT-000029";"Purolator";"Express";"2025-07-15";"2025-07-20";5;"PUR6323164268";16.7;12.19;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";36;0.283;0.00055;1.72;1.26;"Poland"
"SO-2025-000030";"2025-06-25";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0014";"Each";4;14.79;10.8;"Shipped";"OUT-000030";"UPS";"Express";"2025-06-26";"2025-06-30";4;"UPS8469031722";8.84;6.45;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000031";"2025-06-07";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0018";"Each";4;6.96;5.08;"Shipped";"OUT-000031";"Purolator";"Ground";"2025-06-09";"2025-06-14";4;"PUR6308023549";10.51;7.67;"PureBaltic Rose Lip Balm";"Lip Balm";"PureBaltic";36;0.241;0.000277;2.64;1.93;"Poland"
"SO-2025-000032";"2025-08-13";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0029";"Each";1;11.44;8.35;"Shipped";"OUT-000032";"FedEx";"Priority";"2025-08-14";"2025-08-16";1;"FED4472386269";12.39;9.04;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";24;0.23;0.001155;4.96;3.62;"Poland"
"SO-2025-000033";"2025-08-06";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0010";"Each";5;14.6;10.66;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000034";"2025-07-15";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0021";"Each";3;2.86;2.09;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";36;0.283;0.00055;1.72;1.26;"Poland"
"SO-2025-000035";"2025-07-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0010";"Each";2;12.79;9.34;"Shipped";"OUT-000035";"FedEx";"Ground";"2025-07-16";"2025-07-19";2;"FED2729679700";15.95;11.64;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000036";"2025-07-14";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0018";"Each";4;6.68;4.88;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Rose Lip Balm";"Lip Balm";"PureBaltic";36;0.241;0.000277;2.64;1.93;"Poland"
"SO-2025-000037";"2025-06-03";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0024";"Each";4;3.22;2.35;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000038";"2025-08-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0030";"Each";3;18.23;13.31;"Pending";"";"";"";"";"";0;"";0.0;0.0;"NordGlow SPF 15 Face Cream";"Face Cream";"NordGlow";36;0.148;0.001157;5.27;3.85;"Poland"
"SO-2025-000039";"2025-08-27";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0026";"Each";3;6.99;5.1;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000040";"2025-06-06";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0006";"Each";3;2.93;2.14;"Shipped";"OUT-000040";"FedEx";"Express";"2025-06-07";"2025-06-10";3;"FED9403569550";15.71;11.47;"Vistula Beauty SPF 15 Face Cream";"Face Cream";"Vistula Beauty";12;0.224;0.000717;1.38;1.01;"Poland"
"SO-2025-000041";"2025-06-24";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0003";"Each";5;6.81;4.97;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Mint Lip Balm";"Lip Balm";"ArcticAura";36;0.105;0.000171;2.48;1.81;"Poland"
"SO-2025-000042";"2025-08-02";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NL";"COS-0029";"Each";5;9.31;6.8;"Shipped";"OUT-000042";"Purolator";"Ground";"2025-08-02";"2025-08-03";5;"PUR8655317004";16.94;12.37;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";24;0.23;0.001155;4.96;3.62;"Poland"
"SO-2025-000043";"2025-06-04";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0004";"Each";4;14.43;10.53;"Shipped";"OUT-000043";"Canada Post";"Ground";"2025-06-05";"2025-06-10";4;"CAN4794606074";13.64;9.96;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000044";"2025-08-04";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0019";"Each";2;2.88;2.1;"Shipped";"OUT-000044";"FedEx";"Ground";"2025-08-06";"2025-08-08";2;"FED4439841716";16.65;12.15;"LumiCare Hydrating Face Cream";"Face Cream";"LumiCare";36;0.097;0.001069;1.36;0.99;"Poland"
"SO-2025-000045";"2025-06-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0010";"Each";1;13.91;10.15;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000046";"2025-08-07";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0030";"Each";4;20.03;14.62;"Shipped";"OUT-000046";"Purolator";"Express";"2025-08-08";"2025-08-11";4;"PUR3020625252";10.61;7.75;"NordGlow SPF 15 Face Cream";"Face Cream";"NordGlow";36;0.148;0.001157;5.27;3.85;"Poland"
"SO-2025-000047";"2025-08-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0019";"Each";1;3.27;2.39;"Shipped";"OUT-000047";"Purolator";"Express";"2025-08-18";"2025-08-22";1;"PUR7654230342";13.06;9.53;"LumiCare Hydrating Face Cream";"Face Cream";"LumiCare";36;0.097;0.001069;1.36;0.99;"Poland"
"SO-2025-000048";"2025-07-14";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NS";"COS-0004";"Each";4;10.67;7.79;"Shipped";"OUT-000048";"UPS";"Ground";"2025-07-15";"2025-07-16";4;"UPS8697711600";16.41;11.98;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000049";"2025-06-03";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0002";"Each";2;12.51;9.13;"Shipped";"OUT-000049";"Purolator";"Priority";"2025-06-05";"2025-06-08";2;"PUR4518040302";11.03;8.05;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000050";"2025-07-06";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0012";"Each";3;7.16;5.23;"Shipped";"OUT-000050";"Purolator";"Express";"2025-07-08";"2025-07-12";3;"PUR4627968920";13.3;9.71;"ArcticAura Rose Lip Balm";"Lip Balm";"ArcticAura";36;0.125;0.000891;3.2;2.34;"Poland"
"SO-2025-000051";"2025-07-19";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0030";"Each";3;15.74;11.49;"Shipped";"OUT-000051";"UPS";"Express";"2025-07-20";"2025-07-25";3;"UPS2485239604";11.96;8.73;"NordGlow SPF 15 Face Cream";"Face Cream";"NordGlow";36;0.148;0.001157;5.27;3.85;"Poland"
"SO-2025-000052";"2025-07-13";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0004";"Each";2;13.22;9.65;"Shipped";"OUT-000052";"UPS";"Express";"2025-07-14";"2025-07-15";2;"UPS3642651328";9.9;7.23;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000053";"2025-06-28";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0020";"Each";4;2.89;2.11;"Shipped";"OUT-000053";"Canada Post";"Express";"2025-06-28";"2025-07-01";4;"CAN8703362019";9.23;6.74;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";24;0.34;0.000614;1.6;1.17;"Poland"
"SO-2025-000054";"2025-08-10";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0004";"Each";1;14.65;10.69;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000055";"2025-07-31";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0007";"Each";5;6.11;4.46;"Shipped";"OUT-000055";"Canada Post";"Ground";"2025-08-02";"2025-08-04";5;"CAN6540844047";14.31;10.45;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000056";"2025-08-09";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0025";"Each";2;6.67;4.87;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Hyaluronic Face Cream";"Face Cream";"ArcticAura";6;0.343;0.000936;4.08;2.98;"Poland"
"SO-2025-000057";"2025-07-17";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0016";"Each";5;13.79;10.07;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"NordGlow SPF 30 Face Wash";"Face Wash";"NordGlow";6;0.041;0.000846;4.87;3.56;"Poland"
"SO-2025-000058";"2025-07-03";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0026";"Each";2;7.19;5.25;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000059";"2025-07-26";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0015";"Each";5;8.85;6.46;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura SPF 15 Face Wash";"Face Wash";"ArcticAura";12;0.161;0.000618;3.21;2.34;"Poland"
"SO-2025-000060";"2025-07-07";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0015";"Each";1;7.99;5.83;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura SPF 15 Face Wash";"Face Wash";"ArcticAura";12;0.161;0.000618;3.21;2.34;"Poland"
"SO-2025-000061";"2025-08-05";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0007";"Each";1;5.61;4.1;"Shipped";"OUT-000061";"UPS";"Ground";"2025-08-06";"2025-08-08";1;"UPS6297457264";9.06;6.61;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000062";"2025-06-23";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0016";"Each";3;11.23;8.2;"Shipped";"OUT-000062";"FedEx";"Priority";"2025-06-24";"2025-06-26";3;"FED5243835240";15.14;11.05;"NordGlow SPF 30 Face Wash";"Face Wash";"NordGlow";6;0.041;0.000846;4.87;3.56;"Poland"
"SO-2025-000063";"2025-07-28";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0018";"Each";4;9.63;7.03;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Rose Lip Balm";"Lip Balm";"PureBaltic";36;0.241;0.000277;2.64;1.93;"Poland"
"SO-2025-000064";"2025-07-29";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0006";"Each";5;3.03;2.21;"Shipped";"OUT-000064";"UPS";"Express";"2025-07-30";"2025-07-31";5;"UPS8951286528";13.02;9.5;"Vistula Beauty SPF 15 Face Cream";"Face Cream";"Vistula Beauty";12;0.224;0.000717;1.38;1.01;"Poland"
"SO-2025-000065";"2025-06-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0013";"Each";2;3.37;2.46;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Hydrating Face Wash";"Face Wash";"ArcticAura";12;0.328;0.001045;1.32;0.96;"Poland"
"SO-2025-000066";"2025-06-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0003";"Each";5;7.99;5.83;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Mint Lip Balm";"Lip Balm";"ArcticAura";36;0.105;0.000171;2.48;1.81;"Poland"
"SO-2025-000067";"2025-06-15";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0028";"Each";1;16.26;11.87;"Shipped";"OUT-000067";"Purolator";"Ground";"2025-06-16";"2025-06-21";1;"PUR8163668272";16.29;11.89;"PureBaltic Sensitive Skin Face Cream";"Face Cream";"PureBaltic";24;0.055;0.00059;4.77;3.48;"Poland"
"SO-2025-000068";"2025-08-11";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0013";"Each";5;3.77;2.75;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Hydrating Face Wash";"Face Wash";"ArcticAura";12;0.328;0.001045;1.32;0.96;"Poland"
"SO-2025-000069";"2025-07-10";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NL";"COS-0010";"Each";2;11.63;8.49;"Shipped";"OUT-000069";"Purolator";"Express";"2025-07-10";"2025-07-12";2;"PUR5015055668";11.71;8.55;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000070";"2025-08-03";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0002";"Each";4;12.73;9.29;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000071";"2025-07-29";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0026";"Each";2;6.11;4.46;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000072";"2025-07-07";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0014";"Each";5;14.56;10.63;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000073";"2025-08-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0019";"Each";2;2.57;1.88;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hydrating Face Cream";"Face Cream";"LumiCare";36;0.097;0.001069;1.36;0.99;"Poland"
"SO-2025-000074";"2025-06-05";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0004";"Each";3;13.63;9.95;"Shipped";"OUT-000074";"Canada Post";"Ground";"2025-06-06";"2025-06-08";3;"CAN1388870407";16.76;12.23;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000075";"2025-08-08";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0004";"Each";3;11.79;8.61;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
